model_name,level_name,chained_score,model_chained_score
RandomForest,Level 1 (Type 2),0.775,0.7083333333333334
RandomForest,Level 2 (Type 2 + Type 3),0.7,0.7083333333333334
RandomForest,Level 3 (Type 2 + Type 3 + Type 4),0.65,0.7083333333333334
HistGradientBoosting,Level 1 (Type 2),0.7,0.6583333333333333
HistGradientBoosting,Level 2 (Type 2 + Type 3),0.675,0.6583333333333333
HistGradientBoosting,Level 3 (Type 2 + Type 3 + Type 4),0.6,0.6583333333333333
SGD,Level 1 (Type 2),0.825,0.75
SGD,Level 2 (Type 2 + Type 3),0.775,0.75
SGD,Level 3 (Type 2 + Type 3 + Type 4),0.65,0.75
AdaBoost,Level 1 (Type 2),0.775,0.5166666666666666
AdaBoost,Level 2 (Type 2 + Type 3),0.5,0.5166666666666666
AdaBoost,Level 3 (Type 2 + Type 3 + Type 4),0.275,0.5166666666666666
Voting,Level 1 (Type 2),0.85,0.7333333333333334
Voting,Level 2 (Type 2 + Type 3),0.725,0.7333333333333334
Voting,Level 3 (Type 2 + Type 3 + Type 4),0.625,0.7333333333333334
ExtraTrees,Level 1 (Type 2),0.55,0.39166666666666666
ExtraTrees,Level 2 (Type 2 + Type 3),0.325,0.39166666666666666
ExtraTrees,Level 3 (Type 2 + Type 3 + Type 4),0.3,0.39166666666666666
